0.00	0.9929E+01	0.1271E+03	0	0.5445E+00	0.6102E+02	0
0.20	0.2642E+02	0.1126E+04	0	0.1589E+01	0.1184E+03	0
0.40	0.3968E+02	0.2672E+04	0	0.2602E+01	0.1306E+03	0
0.61	0.5073E+02	0.3143E+04	0	0.3403E+01	0.1915E+03	0
0.81	0.6033E+02	0.2703E+04	0	0.4010E+01	0.2167E+03	0
1.01	0.6914E+02	0.4263E+04	0	0.4653E+01	0.2390E+03	0
1.21	0.7741E+02	0.8887E+04	0	0.5226E+01	0.2682E+03	0
1.41	0.8595E+02	0.1515E+05	0	0.5694E+01	0.3003E+03	0
1.62	0.9326E+02	0.2011E+05	0	0.6012E+01	0.3376E+03	0
1.82	0.9983E+02	0.2509E+05	0	0.6312E+01	0.3571E+03	0
2.02	0.1052E+03	0.2908E+05	0	0.6657E+01	0.3914E+03	0
2.22	0.1092E+03	0.3133E+05	0	0.6724E+01	0.4160E+03	0
2.42	0.1115E+03	0.3326E+05	0	0.6989E+01	0.4310E+03	0
2.63	0.1130E+03	0.3403E+05	0	0.7039E+01	0.4500E+03	0
2.83	0.1128E+03	0.3424E+05	0	0.7092E+01	0.4616E+03	0
3.03	0.1126E+03	0.3437E+05	0	0.7265E+01	0.4658E+03	0
3.23	0.1116E+03	0.3324E+05	0	0.7417E+01	0.4568E+03	0
3.43	0.1097E+03	0.3309E+05	0	0.7552E+01	0.4597E+03	0
3.64	0.1078E+03	0.3227E+05	0	0.7612E+01	0.4498E+03	0
3.84	0.1050E+03	0.3153E+05	0	0.7269E+01	0.4430E+03	0
4.04	0.1021E+03	0.3087E+05	0	0.7153E+01	0.4348E+03	0
4.24	0.9959E+02	0.3069E+05	0	0.7257E+01	0.4244E+03	0
4.44	0.9699E+02	0.3075E+05	0	0.7237E+01	0.4002E+03	0
4.65	0.9352E+02	0.3129E+05	0	0.7151E+01	0.3809E+03	0
4.85	0.9083E+02	0.3115E+05	0	0.7044E+01	0.3672E+03	0
5.05	0.8761E+02	0.3128E+05	0	0.6959E+01	0.3492E+03	0
5.25	0.8544E+02	0.3084E+05	0	0.6849E+01	0.3330E+03	0
5.45	0.8312E+02	0.3078E+05	0	0.6804E+01	0.3086E+03	0
5.66	0.8015E+02	0.2983E+05	0	0.6627E+01	0.3001E+03	0
5.86	0.7794E+02	0.2926E+05	0	0.6569E+01	0.2712E+03	0
6.06	0.7489E+02	0.2840E+05	0	0.6414E+01	0.2409E+03	0
6.26	0.7362E+02	0.2672E+05	0	0.6151E+01	0.2331E+03	0
6.46	0.7071E+02	0.2439E+05	0	0.5982E+01	0.2111E+03	0
6.67	0.6951E+02	0.2150E+05	0	0.6238E+01	0.2013E+03	0
6.87	0.6685E+02	0.1864E+05	0	0.5869E+01	0.1867E+03	0
7.07	0.6471E+02	0.1505E+05	0	0.5571E+01	0.1657E+03	0
7.27	0.6253E+02	0.1292E+05	0	0.5524E+01	0.1691E+03	0
7.47	0.6063E+02	0.1152E+05	0	0.5334E+01	0.1457E+03	0
7.68	0.5963E+02	0.9591E+04	0	0.5312E+01	0.1409E+03	0
7.88	0.5742E+02	0.7673E+04	0	0.5319E+01	0.1420E+03	0
8.08	0.5641E+02	0.5898E+04	0	0.5084E+01	0.1340E+03	0
8.28	0.5438E+02	0.4693E+04	0	0.4857E+01	0.1237E+03	0
8.48	0.5342E+02	0.3234E+04	0	0.4888E+01	0.1189E+03	0
8.69	0.5120E+02	0.2712E+04	0	0.4862E+01	0.1198E+03	0
8.89	0.4953E+02	0.1837E+04	0	0.4496E+01	0.1111E+03	0
9.09	0.4730E+02	0.1534E+04	0	0.4163E+01	0.1049E+03	0
9.29	0.4644E+02	0.1194E+04	0	0.4288E+01	0.1042E+03	0
9.49	0.4481E+02	0.9221E+03	0	0.4289E+01	0.9537E+02	0
9.70	0.4348E+02	0.9124E+03	0	0.4130E+01	0.8833E+02	0
9.90	0.4160E+02	0.8490E+03	0	0.3785E+01	0.8651E+02	0
10.10	0.4036E+02	0.7971E+03	0	0.3662E+01	0.8067E+02	0
10.30	0.3876E+02	0.6336E+03	0	0.3416E+01	0.7765E+02	0
10.50	0.3764E+02	0.6727E+03	0	0.3457E+01	0.7927E+02	0
10.71	0.3604E+02	0.6162E+03	0	0.2976E+01	0.6550E+02	0
10.91	0.3517E+02	0.6704E+03	0	0.3208E+01	0.7802E+02	0
11.11	0.3353E+02	0.5325E+03	0	0.3118E+01	0.6175E+02	0
11.31	0.3268E+02	0.4876E+03	0	0.3208E+01	0.6374E+02	0
11.51	0.3145E+02	0.4862E+03	0	0.3007E+01	0.6145E+02	0
11.72	0.3061E+02	0.4983E+03	0	0.3021E+01	0.5677E+02	0
11.92	0.2934E+02	0.4489E+03	0	0.2685E+01	0.4197E+02	0
12.12	0.2859E+02	0.4751E+03	0	0.2707E+01	0.5183E+02	0
12.32	0.2698E+02	0.4256E+03	0	0.2654E+01	0.4231E+02	0
12.52	0.2699E+02	0.3988E+03	0	0.2428E+01	0.4461E+02	0
12.73	0.2583E+02	0.4081E+03	0	0.2489E+01	0.3641E+02	0
12.93	0.2448E+02	0.3713E+03	0	0.2458E+01	0.3502E+02	0
13.13	0.2332E+02	0.4100E+03	0	0.2376E+01	0.3500E+02	0
13.33	0.2260E+02	0.4402E+03	0	0.2115E+01	0.3477E+02	0
13.53	0.2164E+02	0.3594E+03	0	0.2188E+01	0.3286E+02	0
13.74	0.2161E+02	0.3479E+03	0	0.2097E+01	0.2274E+02	0
13.94	0.2010E+02	0.3750E+03	0	0.2057E+01	0.2587E+02	0
14.14	0.1932E+02	0.3632E+03	0	0.1766E+01	0.2169E+02	0
14.34	0.1944E+02	0.3246E+03	0	0.1841E+01	0.1887E+02	0
14.54	0.1856E+02	0.3736E+03	0	0.1863E+01	0.2710E+02	0
